"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1985 <= Year >= 2024""]"																																						
	1988	11	6	13	3	19.3			"CHINA:  YUNNAN PROVINCE"	22.789	99.611	18	7.3	10	738	3			3900	4	269	4	412000	4			738	3			3900	4	269	4	412000	4		
	1988	11	6	13	15	43.3			"CHINA:  YUNNAN PROVINCE"	23.181	99.439	10	6.4																									
	1988	11	10	1	17	49.4			"CHINA:  E, QINZHOU-FANGCHENG, NANNING"	21.23	108.545	10	4.6						71	2		1									71	2		1				
	1988	11	12	3	34	48.6			"JAMAICA:  ST ANDREW, JACKS HILL"	18.068	-76.597	16	4.7	6								2												2				
	1988	11	17	6	55	46			"PHILIPPINES:  SAMAR:  CATARMAN, CATBALOGAN"	12.399	124.537	19	6.6	6					29	1		1									29	1		1				
	1988	11	21	16	55	52.5			"AZORES:  SAO MIGUEL ISLAND"	37.938	-26.142	11	5.3	7								2																
	1988	11	25	23	46	4.5			"CANADA:  QUEBEC:  SAGUENAY, QUEBEC CITY"	48.047	-71.315	22	5.8	7	2	1			50	1		2					2	1			50	1		2				
	1988	12	7	7	41	24.2			"ARMENIA:  LENINAKAN, SPITAK, KIROVAKAN"	40.987	44.185	5	6.8	10	25000	4					16200	4		4			25000	4					16200	4		4		
	1989	1	22	23	2	7.1			"TAJIKISTAN:  SHARORA, GISSAR"	38.465	68.694	33	5.3	7	274	3				3	24.8	3					274	3				3	24.8	3				
	1989	3	8	11	44	32.3			"INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU"	1.031	126.189	32	5.6									3																
	1989	3	10	8	0	48.7			"TURKEY:  ERZURUM, KARS"	40.027	41.816	10	4.4									2																
	1989	3	10	14	14	10.2			"PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL"	-4.346	152.797	53	5.4	5	1	1											1	1										
	1989	3	10	21	49	45.8			"MALAWI:  SALIMA, DEDZA, MOHINJI"	-13.702	34.42	30	6.1		9	1			100	2	28	4					9	1			100	2	28	4				
	1989	4	15	20	34	8.9			"CHINA:  SICHUAN PROVINCE:  BATANG"	29.987	99.195	13	6.2		11	1			42	1	164	4					11	1			42	1	164	4				
	1989	4	25	14	29	0.5			"MEXICO:  MEXICO CITY, ACAPULCO"	16.773	-99.328	19	6.8	6	3	1				1		2					3	1				1		2				
	1989	5	3	9	13	24.2			"IRAN:  SW, SHIRAZ, MAMASANI"	29.964	51.655	33	5.1									3																
	1989	5	4	0	22	6.7			"VENEZUELA:  FALCON, CARABOBO, CARACAS"	11.038	-68.27	16	5.2									2																
	1989	5	7	0	38	18.5			"CHINA:  YUNNAN PROVINCE:  GENGMA, LANCANG, MENGLIAN"	23.553	99.526	33	5.6		1	1			91	2	54	4	5300	4			1	1			91	2	54	4	5300	4		
	1989	5	23	10	54	46.3	2185		"MACQUARIE ISLAND:  MACQUARIE STATION; NEW ZEALAND"	-52.341	160.568	10	8.2	7								1																
	1989	5	27	20	8	37.3			"IRAN:  DO GOBADAN, FARS, YASUJ"	30.167	50.921	31	5.8		114	3					5	2					114	3					5	2				
	1989	6	12	0	4	9.7			"BANGLADESH:  BANARIPARA"	21.861	89.763	6	5.1		1	1				3		2					1	1				3		2				
	1989	6	25	20	37	32.4			"ECUADOR:  ESMERALDAS, GUAYAQUIL"	1.134	-79.616	15	6.1	7								2																
	1989	6	26	3	27	3.9	2186		"HAWAIIAN ISLANDS:  PUNA DISTRICT"	19.362	-155.083	9	6.1	6					5	1		2	105	3							5	1		2	105	3		
	1989	6	26	10	38	39.4			"AZORES:  GRACIOSA, TERCEIRA"	39.112	-28.242	11	5.7	6								2																
	1989	7	9	2	9	9.1			"JAPAN:  HONSHU:  ITO, AJIRO"	34.942	139.193	5	5	6								2																
	1989	7	14	20	42	40			"INDONESIA:  TIMOR:  ALOR"	-8.081	125.129	10	6.2									2																
	1989	8	1	0	18	4.8			"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER"	-4.511	139.022	14	5.8		120	3			125	3	1	2					120	3			125	3	1	2				
	1989	8	3	7	42	40.8			"RUSSIA:  GROZNYY, BUYNAKSK"	43.522	45.362	18	5	6	1	1						2					1	1						2				
	1989	8	20	11	16	56.5			"DJIBOUTI: GALAFI, YABAKI;  ETHIOPIA"	11.766	41.942	12	6.3	9	6	1				1		2					6	1				1		2				
	1989	9	4	5	20	55.9			"INDONESIA:  TEMBAGAPURA"	-4.219	136.667	9	6									2												2				
	1989	9	4	13	14	58.2	2187		"ALASKA"	55.543	-156.835	11	6.9																									
	1989	9	22	2	25	50.8			"CHINA:  SICHUAN PROVINCE:  XIAOJIN COUNTY"	31.583	102.433	15	6.1		1	1			151	3		3	4270	4			1	1			151	3		3	4270	4		
	1989	10	1	2	59	6.3			"IRAN:  DEH BORZORG-E SISAKHT"	30.96	51.421	42	4.7									2																
	1989	10	18	0	4	15.2	2188		"CALIFORNIA:  LOMA PRIETA"	37.036	-121.883	19	6.9	9	62	2			3757	4	5600	4		3			62	2			3757	4	5600	4		3		
	1989	10	18	14	57	22.4			"CHINA:  SHANXI AND HEBEI PROVINCES; DATONG"	39.893	113.884	10	5.3	8	29	1			193	3		3	30000	4			29	1			193	3		3	30000	4		
	1989	10	29	5	25	38.2	2189		"JAPAN:  N. HONSHU ISLAND"	39.571	143.333	10	6.6																									
